,Product_1,300,box,50,this is product description,cdm10_mg1sbtv.jpeg
,Product_2,300,box,30,this is product description,Kinder_Joy.jpg
,Product_3,500,box,56,this is product description,c1.jpg
,Product_4,800,box,56,this is product description,c3.jpg
,Product_5,480,box,56,this is product description,c4.jpg
,Product_6,480,box,56,this is product description,n1.jpg
,Product_7,561,box,56,this is product description,c2_g2pLtdS.jpg
,Product_8,1000,batha,35,this is product description,p10.jpg
,Product_9,600,jar,35,this is product description,p14_clLbc3M.jpg
,Product_10,700,jar,30,this is product description,centerfresh_p7zY6jd.jpg
,Product_11,800,jar,36,this is product description,centerfruit_P2Umrwd.jpg
,Product_12,900,box,50,this is product description,shoots_fhMzmyc.jpg
